,License_Number,Reporting Period, Total_Sales , Excise_Tax_Due ,Sales_Booked,Sales_Booked_Timestamp
0,412618,6/1/2014 - 6/30/2014,"$3,240 ",$810 ,6/30/2014,1404086400
1,412047,6/1/2014 - 6/30/2014,"$1,920 ",$480 ,6/30/2014,1404086400
2,412194,6/1/2014 - 6/30/2014,"$1,100 ",$275 ,6/30/2014,1404086400
3,412119,7/1/2014 - 7/31/2014,"$17,981 ","$4,495 ",7/31/2014,1406764800
4,412618,7/1/2014 - 7/31/2014,"$18,035 ","$4,509 ",7/31/2014,1406764800
5,412053,7/1/2014 - 7/31/2014,$553 ,$138 ,7/31/2014,1406764800
6,412567,7/1/2014 - 7/31/2014,$238 ,$59 ,7/31/2014,1406764800
7,412240,7/1/2014 - 7/31/2014,"$2,395 ",$599 ,7/31/2014,1406764800
8,413113,7/1/2014 - 7/31/2014,$750 ,$188 ,7/31/2014,1406764800
9,412214,7/1/2014 - 7/31/2014,"$6,875 ","$1,719 ",7/31/2014,1406764800
10,412384,7/1/2014 - 7/31/2014,"$9,203 ","$2,301 ",7/31/2014,1406764800
11,412445,8/1/2014 - 8/31/2014,"$25,580 ","$6,395 ",8/31/2014,1409443200
12,412618,8/1/2014 - 8/31/2014,"$1,355 ",$339 ,8/31/2014,1409443200
13,412053,8/1/2014 - 8/31/2014,$40 ,$10 ,8/31/2014,1409443200
14,412194,8/1/2014 - 8/31/2014,"$1,296 ",$324 ,8/31/2014,1409443200
15,412240,8/1/2014 - 8/31/2014,$832 ,$208 ,8/31/2014,1409443200
16,412570,8/1/2014 - 8/31/2014,$10 ,$3 ,8/31/2014,1409443200
17,416840,8/1/2014 - 8/31/2014,"$18,400 ","$4,600 ",8/31/2014,1409443200
18,412096,8/1/2014 - 8/31/2014,$4 ,$1 ,8/31/2014,1409443200
19,412402,8/1/2014 - 8/31/2014,$11 ,$3 ,8/31/2014,1409443200
20,412214,8/1/2014 - 8/31/2014,"$1,211 ",$303 ,8/31/2014,1409443200
21,412037,8/1/2014 - 8/31/2014,$6 ,$1 ,8/31/2014,1409443200
22,412144,8/1/2014 - 8/31/2014,$258 ,$65 ,8/31/2014,1409443200
23,412994,8/1/2014 - 8/31/2014,"$5,219 ","$1,305 ",8/31/2014,1409443200
24,412084,8/1/2014 - 8/31/2014,$0.09 ,$0.02 ,8/31/2014,1409443200
25,412901,8/1/2014 - 8/31/2014,$240 ,$60 ,8/31/2014,1409443200
26,412624,9/1/2014 - 9/30/2014,$240 ,$60 ,9/30/2014,1412035200
27,416387,9/1/2014 - 9/30/2014,$0.11 ,$0.03 ,9/30/2014,1412035200
28,412118,9/1/2014 - 9/30/2014,$105 ,$26 ,9/30/2014,1412035200
29,412284,9/1/2014 - 9/30/2014,"$2,723 ",$681 ,9/30/2014,1412035200
30,412214,9/1/2014 - 9/30/2014,$988 ,$247 ,9/30/2014,1412035200
31,412566,9/1/2014 - 9/30/2014,$720 ,$180 ,9/30/2014,1412035200
32,412901,9/1/2014 - 9/30/2014,$0.28 ,$0.07 ,9/30/2014,1412035200
33,412681,9/1/2014 - 9/30/2014,"$2,000 ",$500 ,9/30/2014,1412035200
34,412194,9/1/2014 - 9/30/2014,$150 ,$38 ,9/30/2014,1412035200
35,413205,9/1/2014 - 9/30/2014,$0.09 ,$0.02 ,9/30/2014,1412035200
36,412135,9/1/2014 - 9/30/2014,$0.18 ,$0.05 ,9/30/2014,1412035200
37,412119,9/1/2014 - 9/30/2014,"$16,466 ","$4,117 ",9/30/2014,1412035200
38,412670,9/1/2014 - 9/30/2014,$40 ,$10 ,9/30/2014,1412035200
39,412618,9/1/2014 - 9/30/2014,"$1,377 ",$344 ,9/30/2014,1412035200
40,414140,9/1/2014 - 9/30/2014,"$2,445 ",$611 ,9/30/2014,1412035200
41,412286,9/1/2014 - 9/30/2014,"$6,043 ","$1,511 ",9/30/2014,1412035200
42,412147,9/1/2014 - 9/30/2014,"$30,650 ","$7,663 ",9/30/2014,1412035200
43,412784,9/1/2014 - 9/30/2014,$1.00 ,$0.25 ,9/30/2014,1412035200
44,412994,9/1/2014 - 9/30/2014,"$9,260 ","$2,315 ",9/30/2014,1412035200
45,412016,9/1/2014 - 9/30/2014,$250 ,$63 ,9/30/2014,1412035200
46,412445,9/1/2014 - 9/30/2014,"$9,830 ","$2,457 ",9/30/2014,1412035200
47,413038,9/1/2014 - 9/30/2014,"$2,500 ",$625 ,9/30/2014,1412035200
48,412223,10/1/2014 - 10/31/2014,"$126,474 ","$31,619 ",10/31/2014,1414713600
49,412084,10/1/2014 - 10/31/2014,"$14,395 ","$3,599 ",10/31/2014,1414713600
50,412079,10/1/2014 - 10/31/2014,"$4,461 ","$1,115 ",10/31/2014,1414713600
51,412107,10/1/2014 - 10/31/2014,"$1,406 ",$351 ,10/31/2014,1414713600
52,412069,10/1/2014 - 10/31/2014,"$2,997 ",$749 ,10/31/2014,1414713600
53,412217,10/1/2014 - 10/31/2014,"$1,848 ",$462 ,10/31/2014,1414713600
54,412106,10/1/2014 - 10/31/2014,"$1,749 ",$437 ,10/31/2014,1414713600
55,412688,10/1/2014 - 10/31/2014,"$4,664 ","$1,166 ",10/31/2014,1414713600
56,412384,10/1/2014 - 10/31/2014,"$8,542 ","$2,136 ",10/31/2014,1414713600
57,412135,10/1/2014 - 10/31/2014,"$24,072 ","$6,018 ",10/31/2014,1414713600
58,412445,10/1/2014 - 10/31/2014,"$3,227 ",$807 ,10/31/2014,1414713600
59,412194,10/1/2014 - 10/31/2014,"$101,000 ","$25,250 ",10/31/2014,1414713600
60,412618,10/1/2014 - 10/31/2014,"$18,427 ","$4,607 ",10/31/2014,1414713600
61,412943,10/1/2014 - 10/31/2014,"$25,518 ","$6,379 ",10/31/2014,1414713600
62,412214,10/1/2014 - 10/31/2014,"$6,720 ","$1,680 ",10/31/2014,1414713600
63,414041,10/1/2014 - 10/31/2014,"$5,000 ","$1,250 ",10/31/2014,1414713600
64,412044,10/1/2014 - 10/31/2014,"$3,500 ",$875 ,10/31/2014,1414713600
65,412337,10/1/2014 - 10/31/2014,"$8,407 ","$2,102 ",10/31/2014,1414713600
66,413076,10/1/2014 - 10/31/2014,"$1,275 ",$319 ,10/31/2014,1414713600
67,412147,10/1/2014 - 10/31/2014,$2 ,$1 ,10/31/2014,1414713600
68,412154,10/1/2014 - 10/31/2014,"$5,581 ","$1,395 ",10/31/2014,1414713600
69,412681,10/1/2014 - 10/31/2014,"$3,499 ",$875 ,10/31/2014,1414713600
70,412762,10/1/2014 - 10/31/2014,"$1,427 ",$357 ,10/31/2014,1414713600
71,412273,10/1/2014 - 10/31/2014,"$3,200 ",$800 ,10/31/2014,1414713600
72,412240,10/1/2014 - 10/31/2014,$6 ,$2 ,10/31/2014,1414713600
73,416840,10/1/2014 - 10/31/2014,$9 ,$2 ,10/31/2014,1414713600
74,413179,10/1/2014 - 10/31/2014,$948 ,$237 ,10/31/2014,1414713600
75,412311,10/1/2014 - 10/31/2014,"$3,405 ",$851 ,10/31/2014,1414713600
76,412402,10/1/2014 - 10/31/2014,$0.93 ,$0.23 ,10/31/2014,1414713600
77,415783,10/1/2014 - 10/31/2014,"$28,291 ","$7,073 ",10/31/2014,1414713600
78,413450,10/1/2014 - 10/31/2014,"$6,000 ","$1,500 ",10/31/2014,1414713600
79,413134,10/1/2014 - 10/31/2014,"$95,701 ","$23,925 ",10/31/2014,1414713600
80,412295,10/1/2014 - 10/31/2014,"$3,500 ",$875 ,10/31/2014,1414713600
81,412601,10/1/2014 - 10/31/2014,"$6,159 ","$1,540 ",10/31/2014,1414713600
82,412994,10/1/2014 - 10/31/2014,"$5,884 ","$1,471 ",10/31/2014,1414713600
83,412285,10/1/2014 - 10/31/2014,"$2,160 ",$540 ,10/31/2014,1414713600
84,416548,10/1/2014 - 10/31/2014,"$1,000 ",$250 ,10/31/2014,1414713600
85,412286,10/1/2014 - 10/31/2014,"$69,460 ","$17,365 ",10/31/2014,1414713600
86,414271,10/1/2014 - 10/31/2014,"$1,560 ",$390 ,10/31/2014,1414713600
87,412670,10/1/2014 - 10/31/2014,"$8,583 ","$2,146 ",10/31/2014,1414713600
88,412439,10/1/2014 - 10/31/2014,"$1,325 ",$331 ,10/31/2014,1414713600
89,416231,10/1/2014 - 10/31/2014,"$9,589 ","$2,397 ",10/31/2014,1414713600
90,413864,10/1/2014 - 10/31/2014,$935 ,$234 ,10/31/2014,1414713600
91,416562,10/1/2014 - 10/31/2014,"$6,689 ","$1,672 ",10/31/2014,1414713600
92,412566,10/1/2014 - 10/31/2014,$736 ,$184 ,10/31/2014,1414713600
93,417335,10/1/2014 - 10/31/2014,$0.02 ,$0.01 ,10/31/2014,1414713600
94,416089,10/1/2014 - 10/31/2014,$149 ,$37 ,10/31/2014,1414713600
95,416606,10/1/2014 - 10/31/2014,$0.12 ,$0.03 ,10/31/2014,1414713600
96,412815,10/1/2014 - 10/31/2014,"$4,100 ","$1,025 ",10/31/2014,1414713600
97,412223,11/1/2014 - 11/30/2014,"$132,656 ","$33,164 ",11/30/2014,1417305600
98,412084,11/1/2014 - 11/30/2014,"$46,136 ","$11,534 ",11/30/2014,1417305600
99,412107,11/1/2014 - 11/30/2014,"$4,216 ","$1,054 ",11/30/2014,1417305600
100,412069,11/1/2014 - 11/30/2014,"$2,979 ",$745 ,11/30/2014,1417305600
101,412688,11/1/2014 - 11/30/2014,"$7,011 ","$1,753 ",11/30/2014,1417305600
102,412384,11/1/2014 - 11/30/2014,"$20,946 ","$5,237 ",11/30/2014,1417305600
103,412135,11/1/2014 - 11/30/2014,"$27,417 ","$6,854 ",11/30/2014,1417305600
104,412053,11/1/2014 - 11/30/2014,$20 ,$5 ,11/30/2014,1417305600
105,412445,11/1/2014 - 11/30/2014,"$1,784 ",$446 ,11/30/2014,1417305600
106,412194,11/1/2014 - 11/30/2014,"$320,449 ","$80,112 ",11/30/2014,1417305600
107,412618,11/1/2014 - 11/30/2014,"$9,214 ","$2,303 ",11/30/2014,1417305600
108,412943,11/1/2014 - 11/30/2014,"$15,465 ","$3,866 ",11/30/2014,1417305600
109,412078,11/1/2014 - 11/30/2014,"$52,696 ","$13,174 ",11/30/2014,1417305600
110,412337,11/1/2014 - 11/30/2014,$800 ,$200 ,11/30/2014,1417305600
111,413205,11/1/2014 - 11/30/2014,$0.06 ,$0.02 ,11/30/2014,1417305600
112,412593,11/1/2014 - 11/30/2014,$47 ,$12 ,11/30/2014,1417305600
113,412147,11/1/2014 - 11/30/2014,$6 ,$1 ,11/30/2014,1417305600
114,413913,11/1/2014 - 11/30/2014,"$5,990 ","$1,498 ",11/30/2014,1417305600
115,412762,11/1/2014 - 11/30/2014,$910 ,$228 ,11/30/2014,1417305600
116,412016,11/1/2014 - 11/30/2014,"$12,191 ","$3,048 ",11/30/2014,1417305600
117,412273,11/1/2014 - 11/30/2014,$900 ,$225 ,11/30/2014,1417305600
118,412284,11/1/2014 - 11/30/2014,$180 ,$45 ,11/30/2014,1417305600
119,412240,11/1/2014 - 11/30/2014,"$42,945 ","$10,736 ",11/30/2014,1417305600
120,416840,11/1/2014 - 11/30/2014,$13 ,$3 ,11/30/2014,1417305600
121,412409,11/1/2014 - 11/30/2014,"$11,485 ","$2,871 ",11/30/2014,1417305600
122,412497,11/1/2014 - 11/30/2014,$0.03 ,$0.01 ,11/30/2014,1417305600
123,412402,11/1/2014 - 11/30/2014,$2 ,$1 ,11/30/2014,1417305600
124,415783,11/1/2014 - 11/30/2014,$200 ,$50 ,11/30/2014,1417305600
125,412653,11/1/2014 - 11/30/2014,"$30,822 ","$7,706 ",11/30/2014,1417305600
126,413450,11/1/2014 - 11/30/2014,"$277,528 ","$69,382 ",11/30/2014,1417305600
127,412169,11/1/2014 - 11/30/2014,$476 ,$119 ,11/30/2014,1417305600
128,413134,11/1/2014 - 11/30/2014,"$46,432 ","$11,608 ",11/30/2014,1417305600
129,417156,11/1/2014 - 11/30/2014,"$9,396 ","$2,349 ",11/30/2014,1417305600
130,412275,11/1/2014 - 11/30/2014,"$30,038 ","$7,509 ",11/30/2014,1417305600
131,415695,11/1/2014 - 11/30/2014,"$1,150 ",$288 ,11/30/2014,1417305600
132,415924,11/1/2014 - 11/30/2014,"$19,497 ","$4,874 ",11/30/2014,1417305600
133,412994,11/1/2014 - 11/30/2014,"$3,348 ",$837 ,11/30/2014,1417305600
134,416751,11/1/2014 - 11/30/2014,"$264,700 ","$66,175 ",11/30/2014,1417305600
135,412080,11/1/2014 - 11/30/2014,"$6,948 ","$1,737 ",11/30/2014,1417305600
136,412286,11/1/2014 - 11/30/2014,"$139,292 ","$34,823 ",11/30/2014,1417305600
137,414271,11/1/2014 - 11/30/2014,"$2,400 ",$600 ,11/30/2014,1417305600
138,413941,11/1/2014 - 11/30/2014,$699 ,$175 ,11/30/2014,1417305600
139,412596,11/1/2014 - 11/30/2014,$226 ,$56 ,11/30/2014,1417305600
140,412670,11/1/2014 - 11/30/2014,"$26,223 ","$6,556 ",11/30/2014,1417305600
141,412109,11/1/2014 - 11/30/2014,$800 ,$200 ,11/30/2014,1417305600
142,412242,11/1/2014 - 11/30/2014,"$5,529 ","$1,382 ",11/30/2014,1417305600
143,416746,11/1/2014 - 11/30/2014,"$304,321 ","$76,080 ",11/30/2014,1417305600
144,416231,11/1/2014 - 11/30/2014,"$3,750 ",$938 ,11/30/2014,1417305600
145,413719,11/1/2014 - 11/30/2014,$0.94 ,$0.24 ,11/30/2014,1417305600
146,413077,11/1/2014 - 11/30/2014,$1.00 ,$0.25 ,11/30/2014,1417305600
147,413864,11/1/2014 - 11/30/2014,$150 ,$38 ,11/30/2014,1417305600
148,416562,11/1/2014 - 11/30/2014,"$1,516 ",$379 ,11/30/2014,1417305600
149,413162,11/1/2014 - 11/30/2014,$79 ,$20 ,11/30/2014,1417305600
150,412566,11/1/2014 - 11/30/2014,"$2,000 ",$500 ,11/30/2014,1417305600
151,416539,11/1/2014 - 11/30/2014,"$2,275 ",$569 ,11/30/2014,1417305600
152,414042,11/1/2014 - 11/30/2014,"$10,000 ","$2,500 ",11/30/2014,1417305600
153,412815,11/1/2014 - 11/30/2014,$605 ,$151 ,11/30/2014,1417305600
154,412200,11/1/2014 - 11/30/2014,$400 ,$100 ,11/30/2014,1417305600
155,412031,11/1/2014 - 11/30/2014,"$2,720 ",$680 ,11/30/2014,1417305600
156,412084,12/1/2014 - 12/31/2014,"$25,695 ","$6,424 ",12/31/2014,1419984000
157,412107,12/1/2014 - 12/31/2014,"$2,918 ",$730 ,12/31/2014,1419984000
158,412069,12/1/2014 - 12/31/2014,"$2,268 ",$567 ,12/31/2014,1419984000
159,412384,12/1/2014 - 12/31/2014,"$10,532 ","$2,633 ",12/31/2014,1419984000
160,412053,12/1/2014 - 12/31/2014,"$15,050 ","$3,763 ",12/31/2014,1419984000
161,412445,12/1/2014 - 12/31/2014,$923 ,$231 ,12/31/2014,1419984000
162,413038,12/1/2014 - 12/31/2014,$2 ,$1 ,12/31/2014,1419984000
163,412618,12/1/2014 - 12/31/2014,"$3,408 ",$852 ,12/31/2014,1419984000
164,412942,12/1/2014 - 12/31/2014,$427 ,$107 ,12/31/2014,1419984000
165,412044,12/1/2014 - 12/31/2014,$0.11 ,$0.03 ,12/31/2014,1419984000
166,412043,12/1/2014 - 12/31/2014,"$11,495 ","$2,874 ",12/31/2014,1419984000
167,412337,12/1/2014 - 12/31/2014,$600 ,$150 ,12/31/2014,1419984000
168,412064,12/1/2014 - 12/31/2014,$0.01 , $- ,12/31/2014,1419984000
169,412147,12/1/2014 - 12/31/2014,"$8,109 ","$2,027 ",12/31/2014,1419984000
170,412154,12/1/2014 - 12/31/2014,$3 ,$1 ,12/31/2014,1419984000
171,413913,12/1/2014 - 12/31/2014,"$4,680 ","$1,170 ",12/31/2014,1419984000
172,412681,12/1/2014 - 12/31/2014,"$2,061 ",$515 ,12/31/2014,1419984000
173,412148,12/1/2014 - 12/31/2014,$0.14 ,$0.04 ,12/31/2014,1419984000
174,412273,12/1/2014 - 12/31/2014,$0.05 ,$0.01 ,12/31/2014,1419984000
175,412240,12/1/2014 - 12/31/2014,"$24,794 ","$6,199 ",12/31/2014,1419984000
176,416840,12/1/2014 - 12/31/2014,($1.00),($0.25),12/31/2014,1419984000
177,412516,12/1/2014 - 12/31/2014,$30 ,$8 ,12/31/2014,1419984000
178,412409,12/1/2014 - 12/31/2014,"$8,030 ","$2,008 ",12/31/2014,1419984000
179,412652,12/1/2014 - 12/31/2014,"$40,000 ","$10,000 ",12/31/2014,1419984000
180,412653,12/1/2014 - 12/31/2014,"$9,000 ","$2,250 ",12/31/2014,1419984000
181,415762,12/1/2014 - 12/31/2014,"$95,249 ","$23,812 ",12/31/2014,1419984000
182,412169,12/1/2014 - 12/31/2014,"$17,333 ","$4,333 ",12/31/2014,1419984000
183,417156,12/1/2014 - 12/31/2014,"$2,472 ",$618 ,12/31/2014,1419984000
184,412275,12/1/2014 - 12/31/2014,"$18,488 ","$4,622 ",12/31/2014,1419984000
185,412180,12/1/2014 - 12/31/2014,"$50,000 ","$12,500 ",12/31/2014,1419984000
186,416400,12/1/2014 - 12/31/2014,"$25,000 ","$6,250 ",12/31/2014,1419984000
187,412601,12/1/2014 - 12/31/2014,$11 ,$3 ,12/31/2014,1419984000
188,416548,12/1/2014 - 12/31/2014,$0.13 ,$0.03 ,12/31/2014,1419984000
189,412286,12/1/2014 - 12/31/2014,"($31,400)","($7,850)",12/31/2014,1419984000
190,414271,12/1/2014 - 12/31/2014,"$5,129 ","$1,282 ",12/31/2014,1419984000
191,412670,12/1/2014 - 12/31/2014,"$4,956 ","$1,239 ",12/31/2014,1419984000
192,412242,12/1/2014 - 12/31/2014,"$4,591 ","$1,148 ",12/31/2014,1419984000
193,416746,12/1/2014 - 12/31/2014,"$204,172 ","$51,043 ",12/31/2014,1419984000
194,417055,12/1/2014 - 12/31/2014,"$12,201 ","$3,050 ",12/31/2014,1419984000
195,413287,12/1/2014 - 12/31/2014,"$7,500 ","$1,875 ",12/31/2014,1419984000
196,413719,12/1/2014 - 12/31/2014,$1.00 ,$0.25 ,12/31/2014,1419984000
197,416562,12/1/2014 - 12/31/2014,"$4,550 ","$1,138 ",12/31/2014,1419984000
198,415725,12/1/2014 - 12/31/2014,"$7,919 ","$1,980 ",12/31/2014,1419984000
199,416063,12/1/2014 - 12/31/2014,"$1,200 ",$300 ,12/31/2014,1419984000
200,415680,12/1/2014 - 12/31/2014,$500 ,$125 ,12/31/2014,1419984000
201,413162,12/1/2014 - 12/31/2014,$0.02 ,$0.01 ,12/31/2014,1419984000
202,415726,12/1/2014 - 12/31/2014,$0.15 ,$0.04 ,12/31/2014,1419984000
203,412566,12/1/2014 - 12/31/2014,$40 ,$10 ,12/31/2014,1419984000
204,416539,12/1/2014 - 12/31/2014,"$2,898 ",$724 ,12/31/2014,1419984000
205,412815,12/1/2014 - 12/31/2014,"$3,457 ",$864 ,12/31/2014,1419984000
206,412200,12/1/2014 - 12/31/2014,"$1,020 ",$255 ,12/31/2014,1419984000
207,416545,12/1/2014 - 12/31/2014,$40 ,$10 ,12/31/2014,1419984000
208,414115,12/1/2014 - 12/31/2014,$150 ,$38 ,12/31/2014,1419984000
209,412598,12/1/2014 - 12/31/2014,"$7,074 ","$1,769 ",12/31/2014,1419984000
210,412043,1/1/2015 - 1/31/2015,"$13,590 ","$3,398 ",1/31/2015,1422662400
211,412552,1/1/2015 - 1/31/2015,$5 ,$1 ,1/31/2015,1422662400
212,413162,1/1/2015 - 1/31/2015,$0.02 ,$0.01 ,1/31/2015,1422662400
213,412601,1/1/2015 - 1/31/2015,"$3,687 ",$922 ,1/31/2015,1422662400
214,412337,1/1/2015 - 1/31/2015,$0.03 ,$0.01 ,1/31/2015,1422662400
215,412311,1/1/2015 - 1/31/2015,$0.14 ,$0.04 ,1/31/2015,1422662400
216,419959,1/1/2015 - 1/31/2015,$46 ,$12 ,1/31/2015,1422662400
217,412964,1/1/2015 - 1/31/2015,$608 ,$152 ,1/31/2015,1422662400
218,412053,1/1/2015 - 1/31/2015,$63 ,$16 ,1/31/2015,1422662400
219,412135,1/1/2015 - 1/31/2015,"$11,088 ","$2,772 ",1/31/2015,1422662400
220,413922,1/1/2015 - 1/31/2015,$10 ,$3 ,1/31/2015,1422662400
221,415707,1/1/2015 - 1/31/2015,$205 ,$51 ,1/31/2015,1422662400
222,416551,1/1/2015 - 1/31/2015,$450 ,$113 ,1/31/2015,1422662400
223,412214,1/1/2015 - 1/31/2015,$13 ,$3 ,1/31/2015,1422662400
224,412452,1/1/2015 - 1/31/2015,$21 ,$5 ,1/31/2015,1422662400
225,412670,1/1/2015 - 1/31/2015,$333 ,$83 ,1/31/2015,1422662400
226,412445,1/1/2015 - 1/31/2015,$202 ,$51 ,1/31/2015,1422662400
227,412119,1/1/2015 - 1/31/2015,$954 ,$239 ,1/31/2015,1422662400
228,416840,1/1/2015 - 1/31/2015,"$2,103 ",$526 ,1/31/2015,1422662400
229,412147,1/1/2015 - 1/31/2015,"$2,528 ",$632 ,1/31/2015,1422662400
230,413913,1/1/2015 - 1/31/2015,"$22,628 ","$5,657 ",1/31/2015,1422662400
231,412618,1/1/2015 - 1/31/2015,"$2,396 ",$599 ,1/31/2015,1422662400
232,412815,1/1/2015 - 1/31/2015,"$32,491 ","$8,123 ",1/31/2015,1422662400
233,413077,1/1/2015 - 1/31/2015,$388 ,$97 ,1/31/2015,1422662400
234,413123,1/1/2015 - 1/31/2015,$0.15 ,$0.04 ,1/31/2015,1422662400
235,412299,1/1/2015 - 1/31/2015,$200 ,$50 ,1/31/2015,1422662400
236,415783,1/1/2015 - 1/31/2015,$500 ,$125 ,1/31/2015,1422662400
237,415762,1/1/2015 - 1/31/2015,"$35,733 ","$8,933 ",1/31/2015,1422662400
238,416562,1/1/2015 - 1/31/2015,$950 ,$238 ,1/31/2015,1422662400
239,416539,1/1/2015 - 1/31/2015,"$1,457 ",$364 ,1/31/2015,1422662400
240,412409,1/1/2015 - 1/31/2015,"$2,900 ",$725 ,1/31/2015,1422662400
241,412148,1/1/2015 - 1/31/2015,$0.02 ,$0.01 ,1/31/2015,1422662400
242,412273,1/1/2015 - 1/31/2015,"$1,260 ",$315 ,1/31/2015,1422662400
243,412295,1/1/2015 - 1/31/2015,$0.19 ,$0.05 ,1/31/2015,1422662400
244,412720,1/1/2015 - 1/31/2015,$0.06 ,$0.02 ,1/31/2015,1422662400
245,415691,1/1/2015 - 1/31/2015,$0.04 ,$0.01 ,1/31/2015,1422662400
246,415924,1/1/2015 - 1/31/2015,$770 ,$192 ,1/31/2015,1422662400
247,412275,1/1/2015 - 1/31/2015,"$8,849 ","$2,212 ",1/31/2015,1422662400
248,412830,1/1/2015 - 1/31/2015,$1.00 ,$0.25 ,1/31/2015,1422662400
249,417055,1/1/2015 - 1/31/2015,"$33,680 ","$8,420 ",1/31/2015,1422662400
250,415937,1/1/2015 - 1/31/2015,"$4,950 ","$1,238 ",1/31/2015,1422662400
251,415914,1/1/2015 - 1/31/2015,$0.03 ,$0.01 ,1/31/2015,1422662400
252,412396,1/1/2015 - 1/31/2015,"$3,368 ",$842 ,1/31/2015,1422662400
253,414140,1/1/2015 - 1/31/2015,$364 ,$91 ,1/31/2015,1422662400
254,417631,1/1/2015 - 1/31/2015,$5 ,$1 ,1/31/2015,1422662400
255,413287,1/1/2015 - 1/31/2015,$0.49 ,$0.12 ,1/31/2015,1422662400
256,412107,1/1/2015 - 1/31/2015,"$4,388 ","$1,097 ",1/31/2015,1422662400
257,413941,1/1/2015 - 1/31/2015,"$6,122 ","$1,531 ",1/31/2015,1422662400
258,412403,1/1/2015 - 1/31/2015,$1.00 ,$0.25 ,1/31/2015,1422662400
259,413196,1/1/2015 - 1/31/2015,"$2,688 ",$672 ,1/31/2015,1422662400
260,416063,1/1/2015 - 1/31/2015,"$7,300 ","$1,825 ",1/31/2015,1422662400
261,412866,1/1/2015 - 1/31/2015,$45 ,$11 ,1/31/2015,1422662400
262,412566,1/1/2015 - 1/31/2015,"$2,010 ",$503 ,1/31/2015,1422662400
263,413957,1/1/2015 - 1/31/2015,$110 ,$28 ,1/31/2015,1422662400
264,412384,1/1/2015 - 1/31/2015,"$10,464 ","$2,616 ",1/31/2015,1422662400
265,412109,1/1/2015 - 1/31/2015,$0.01 , $- ,1/31/2015,1422662400
266,412431,1/1/2015 - 1/31/2015,"$1,000 ",$250 ,1/31/2015,1422662400
267,414041,1/1/2015 - 1/31/2015,"$5,136 ","$1,284 ",1/31/2015,1422662400
268,416117,1/1/2015 - 1/31/2015,"$3,874 ",$968 ,1/31/2015,1422662400
269,413864,1/1/2015 - 1/31/2015,"$1,466 ",$367 ,1/31/2015,1422662400
270,417156,1/1/2015 - 1/31/2015,"$6,650 ","$1,663 ",1/31/2015,1422662400
271,412598,1/1/2015 - 1/31/2015,"$8,893 ","$2,223 ",1/31/2015,1422662400
272,414042,1/1/2015 - 1/31/2015,$0.03 ,$0.01 ,1/31/2015,1422662400
273,412286,1/1/2015 - 1/31/2015,"$15,494 ","$3,873 ",1/31/2015,1422662400
274,412107,2/1/2015 - 2/28/2015,"$3,737 ",$934 ,2/28/2015,1425081600
275,412688,2/1/2015 - 2/28/2015,$13 ,$3 ,2/28/2015,1425081600
276,412527,2/1/2015 - 2/28/2015,$10 ,$3 ,2/28/2015,1425081600
277,412053,2/1/2015 - 2/28/2015,$10 ,$3 ,2/28/2015,1425081600
278,412445,2/1/2015 - 2/28/2015,$3 ,$1 ,2/28/2015,1425081600
279,412618,2/1/2015 - 2/28/2015,"$1,238 ",$309 ,2/28/2015,1425081600
280,412337,2/1/2015 - 2/28/2015,$0.01 , $-   ,2/28/2015,1425081600
281,412147,2/1/2015 - 2/28/2015,"$29,179 ","$7,295 ",2/28/2015,1425081600
282,412099,2/1/2015 - 2/28/2015,$0.10 ,$0.03 ,2/28/2015,1425081600
283,412681,2/1/2015 - 2/28/2015,$9 ,$2 ,2/28/2015,1425081600
284,413113,2/1/2015 - 2/28/2015,"$1,000 ",$250 ,2/28/2015,1425081600
285,412148,2/1/2015 - 2/28/2015,$0.17 ,$0.04 ,2/28/2015,1425081600
286,412273,2/1/2015 - 2/28/2015,$0.25 ,$0.06 ,2/28/2015,1425081600
287,412516,2/1/2015 - 2/28/2015,"$1,362 ",$341 ,2/28/2015,1425081600
288,412403,2/1/2015 - 2/28/2015,$125 ,$31 ,2/28/2015,1425081600
289,412409,2/1/2015 - 2/28/2015,$1.00 ,$0.25 ,2/28/2015,1425081600
290,412311,2/1/2015 - 2/28/2015,$0.08 ,$0.02 ,2/28/2015,1425081600
291,415707,2/1/2015 - 2/28/2015,$449 ,$112 ,2/28/2015,1425081600
292,415762,2/1/2015 - 2/28/2015,"$5,372 ","$1,343 ",2/28/2015,1425081600
293,412169,2/1/2015 - 2/28/2015,$107 ,$27 ,2/28/2015,1425081600
294,412275,2/1/2015 - 2/28/2015,"$8,381 ","$2,095 ",2/28/2015,1425081600
295,415695,2/1/2015 - 2/28/2015,$0.01 , $-   ,2/28/2015,1425081600
296,412601,2/1/2015 - 2/28/2015,"$6,059 ","$1,515 ",2/28/2015,1425081600
297,415691,2/1/2015 - 2/28/2015,$0.03 ,$0.01 ,2/28/2015,1425081600
298,412994,2/1/2015 - 2/28/2015,"$5,067 ","$1,267 ",2/28/2015,1425081600
299,413078,2/1/2015 - 2/28/2015,$124 ,$31 ,2/28/2015,1425081600
300,417631,2/1/2015 - 2/28/2015,$2 ,$1 ,2/28/2015,1425081600
301,416548,2/1/2015 - 2/28/2015,$0.09 ,$0.02 ,2/28/2015,1425081600
302,412286,2/1/2015 - 2/28/2015,"$2,054 ",$514 ,2/28/2015,1425081600
